tag,kind,description,details
absorption,Marker,Hot water absorption chiller
ac,Marker,AC
active,Marker,Active power
ahu,Marker,Air handler unit
ahuRef,Ref,AHU ref
air,Marker,Air measurement
airCooled,Marker,Air cooled chiller
angle,Marker,Angle measurement
apparent,Marker,Apparent power
appName,Str,Application Name
area,Number,Floor area
avg,Marker,Average
barometric,Marker,Barometric pressure
blowdown,Marker,Blowdown water expelled
boiler,Marker,Boiler
bypass,Marker,By-pass valve
centrifugal,Marker,Centrifugal continuous flow
chilled,Marker,Chilled water system
chilledBeamZone,Marker,Chilled beam terminal units
chilledWaterCool,Marker,Chilled water cooler
chilledWaterPlant,Marker,Chilled water plant
chilledWaterPlantRef,Ref,Reference to Chilled Water Plant
chiller,Marker,Chiller
circ,Marker,Circulating pump
circuit,Marker,Electric cuit
closedLoop,Marker,Closed loop cooling tower
cloudage,Marker,Fraction of sky obscured by clouds
cmd,Marker,"Output, AO/BO, command, or actuator"
co,Marker,"Carbon monoxide in ""ppm"""
co2,Marker,"Carbon dioxide in ""ppm"""
coldDeck,Marker,Cold air ductwork in AHU
condensate,Marker,Condensate water
condenser,Marker,Condenser
connection,Marker,Network connection
constantVolume,Marker,Constant volume AHU
cool,Marker,Cooling coil
cooling,Marker,HVAC cooling mode
coolingCapacity,Number,Chiller heat removal capacity
coolingTower,Marker,Cooling tower
coolOnly,Marker,Cooling only VAV without a fan
cur,Marker,"Real-time value available"
curErr,Str,Current status error message
current,Marker,Electrical current
curStatus,Str,Current status
curVal,Obj,Current value
damper,Marker,Damper
dc,Marker,DC
delta,Marker,Differential between entering and leaving sensors,"Differential of air, water, or steam between the entering and leaving sensors"
device,Marker,Device
device1Ref,Ref,Device 1 ID
device2Ref,Ref,Device 2 ID
dew,Marker,Dew point
diagnosticMessage,Marker,Diagnostic Message
direction,Marker,Compass direction
directZone,Marker,Direct zone AHU
dis,Str,Display name
discharge,Marker,Air discharge
diverting,Marker,Three way diverting valve
domestic,Marker,Domestic tap water
dualDuct,Marker,Dual duct AHU
ductArea,Marker,Duct area
dxCool,Marker,Direct expansion mechanical cooling
effective,Marker,Effective setpoint
efficiency,Marker,"Efficiency point ""COP"" or ""kW/ton"""
elec,Marker,Electric
elecHeat,Marker,Electric heat
elecMeterLoad,Ref,Electric load equipment
elecMeterRef,Ref,Electric meter ID
elecPanel,Marker,Electrical panel
elecPanelOf,Ref,Electric panel ID
elecReheat,Marker,Electric reheat
enable,Marker,Enable on/off
energy,Marker,Energy consumption
energyImpact,Marker,Energy Impact Message
entering,Marker,Water or steam entering boiler or chiller
enum,Str,Enumerated names
equip,Marker,Equipment asset
equipRef,Ref,Equipment asset ID
evaporator,Marker,Evaporator
exhaust,Marker,Exhaust air
export,Marker,Energy exported to grid
faceBypass,Marker,Bypassing air flow
fan,Marker,Fan
fanPowered,Marker,Fan powered
fcu,Marker,Fan coil units
filter,Marker,Filter of an AHU
flow,Marker,Flow volume
flue,Marker,Flue point
freezeStat,Marker,Freezing condition
freq,Marker,Electrical frequency
gas,Marker,Natural gas
gasHeat,Marker,Natural gas heating
gasMeterLoad,Ref,Natural gas load
geoAddr,Str,Street address
geoCity,Str,City
geoCoord,Coord,"Coordinate ""C(latitude,longitude)"""
geoCountry,Str,Country
geoCounty,Str,County
geoPostalCode,Str,Postal/ZIP code
geoState,Str,State/Province
geoStreet,Str,Street number and name
header,Marker,Header pipe,Header pipe used as central connection or manifold for other piping runs
heat,Marker,Heating coil,Heating coil as bool or float point on an ahu or vav
heatExchanger,Marker,Heat exchanger,Heat exchangers are used to transfer heat from one medium to another
heating,Marker,HVAC heating mode,Associated with the heating mode of an HVAC system
heatPump,Marker,Heat pumps,Heat pumps are unitary assets which use a refrigeration cycle for both heating and cooling
heatWheel,Marker,AHU heat wheel on off,Bool point which models the on or off state of an ahu heat wheel
