id,timezone,tzoffset,tzoffset_dst,geo_ids
1,Abidjan,0,0,
2,Accra,0,0,
3,Addis_Ababa,10800,10800,
4,Algiers,3600,3600,
5,Asmara,10800,10800,
6,Asmera,10800,10800,
7,Bamako,0,0,
8,Bangui,3600,3600,
9,Banjul,0,0,
10,Bissau,0,0,
11,Blantyre,7200,7200,
12,Brazzaville,3600,3600,
13,Bujumbura,7200,7200,
14,Cairo,7200,7200,
15,Casablanca,0,3600,
16,Ceuta,3600,7200,
17,Conakry,0,0,
18,Dakar,0,0,
19,Dar_es_Salaam,10800,10800,
20,Djibouti,10800,10800,
21,Douala,3600,3600,
22,El_Aaiun,0,3600,
23,Freetown,0,0,
24,Gaborone,7200,7200,
25,Harare,7200,7200,
26,Johannesburg,7200,7200,
27,Juba,10800,10800,
28,Kampala,10800,10800,
29,Khartoum,10800,10800,
30,Kigali,7200,7200,
31,Kinshasa,3600,3600,
32,Lagos,3600,3600,
33,Libreville,3600,3600,
34,Lome,0,0,
35,Luanda,3600,3600,
36,Lubumbashi,7200,7200,
37,Lusaka,7200,7200,
38,Malabo,3600,3600,
39,Maputo,7200,7200,
40,Maseru,7200,7200,
41,Mbabane,7200,7200,
42,Mogadishu,10800,10800,
43,Monrovia,0,0,
44,Nairobi,10800,10800,
45,Ndjamena,3600,3600,
46,Niamey,3600,3600,
47,Nouakchott,0,0,
48,Ouagadougou,0,0,
49,Porto-Novo,3600,3600,
50,Sao_Tome,0,0,
51,Timbuktu,0,0,
52,Tripoli,7200,7200,
53,Tunis,3600,3600,
54,Windhoek,3600,7200,
55,Adak,-36000,-32400,"USA,USA-AK"
56,Anchorage,-32400,-28800,"USA,USA-AK"
57,Anguilla,-14400,-14400,
58,Antigua,-14400,-14400,
59,Araguaina,-10800,-10800,
60,Buenos_Aires,-10800,-10800,
61,Catamarca,-10800,-10800,
62,ComodRivadavia,-10800,-10800,
63,Cordoba,-10800,-10800,
64,Jujuy,-10800,-10800,
65,La_Rioja,-10800,-10800,
66,Mendoza,-10800,-10800,
67,Rio_Gallegos,-10800,-10800,
68,Salta,-10800,-10800,
69,San_Juan,-10800,-10800,
70,San_Luis,-10800,-10800,
71,Tucuman,-10800,-10800,
72,Ushuaia,-10800,-10800,
73,Aruba,-14400,-14400,
74,Asuncion,-10800,-10800,
75,Atikokan,-18000,-18000,"CAN,CAN-ON"
76,Atka,-36000,-32400,
77,Bahia,-10800,-10800,
78,Bahia_Banderas,-21600,-18000,
79,Barbados,-14400,-14400,
80,Belem,-10800,-10800,
81,Belize,-21600,-21600,
82,Blanc-Sablon,-14400,-14400,"CAN,CAN-QC"
83,Boa_Vista,-14400,-14400,
84,Bogota,-18000,-18000,
85,Boise,-25200,-21600,"USA,USA-ID"
86,Buenos_Aires,-10800,-10800,
87,Cambridge_Bay,-25200,-21600,"CAN,CAN-NU"
88,Campo_Grande,-14400,-10800,
89,Cancun,-18000,-18000,
90,Caracas,-16200,-16200,
91,Catamarca,-10800,-10800,
92,Cayenne,-10800,-10800,
93,Cayman,-18000,-18000,
94,Chicago,-21600,-18000,"USA,USA-IL"
