Utility Number,Utility Name,State,country,Division_type,Division_id
34,City of Abbeville - (SC),SC,US,NERC_REGION,SERC
59,City of Abbeville - (LA),LA,US,NERC_REGION,SERC
84,A & N Electric Coop,VA,US,NERC_REGION,RFC
87,City of Ada - (MN),MN,US,NERC_REGION,MRO
97,Adams Electric Coop,IL,US,NERC_REGION,SERC
113,"Agway Energy Services, LLC",NY,US,NERC_REGION,NPCC
118,"Adams Rural Electric Coop, Inc",OH,US,NERC_REGION,RFC
122,Village of Arcade - (NY),NY,US,NERC_REGION,NPCC
149,City of Afton- (IA),IA,US,NERC_REGION,MRO
150,Adrian Public Utilities Comm,MN,US,NERC_REGION,MRO
155,Agralite Electric Coop,MN,US,NERC_REGION,MRO
157,Town of Advance - (IN),IN,US,NERC_REGION,RFC
162,Aiken Electric Coop Inc,SC,US,NERC_REGION,SERC
176,Ajo Improvement Co,AZ,US,NERC_REGION,WECC
182,City of Akron - (IA),IA,US,NERC_REGION,MRO
183,Village of Akron - (NY),NY,US,NERC_REGION,NPCC
191,Alamo Power District No 3,NV,US,NERC_REGION,WECC
192,Akiachak Native Community Electric,AK,US,NERC_REGION,AK
195,Alabama Power Co,AL,US,NERC_REGION,SERC
198,City of Alton,IA,US,NERC_REGION,MRO
201,City of Alachua - (FL),FL,US,NERC_REGION,FRCC
202,Town of Black Creek - (NC),NC,US,NERC_REGION,SERC
213,Alaska Electric Light&Power Co,AK,US,NERC_REGION,AK
219,Alaska Power and Telephone Co,WA,US,NERC_REGION,AK
221,"Alaska Village Elec Coop, Inc",AK,US,NERC_REGION,AK
229,City of Albany - (IL),IL,US,NERC_REGION,RFC
230,Albany Utility Board,GA,US,NERC_REGION,SERC
232,City of Albemarle - (NC),NC,US,NERC_REGION,SERC
240,Albemarle Electric Member Corp,NC,US,NERC_REGION,SERC
241,Albertville Municipal Utilities Board,AL,US,NERC_REGION,SERC
244,City of Albion - (ID),ID,US,NERC_REGION,WECC
261,AGC Division of APG Inc,PA,US,NERC_REGION,RFC
282,Village of Arcadia - (OH),OH,US,NERC_REGION,RFC
